Station,Date,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,Depth,Water1,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,CsFG,CsFG+,CsBR,CsTS,CsDZ,CsGR,CsVCFG,CsMIFG,CsSQ,CsVCTS,CsFU,CsRA,CsSN,CsNA,CsBCFG,CsTSRA,CsHZ
2,2007-05-09,76,63,70.0,,60,63.0,0.0,5.0,,,BR HZ,,,,0.02,29.28,29.93,3.9,7,5.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2007-05-10,84,56,70.0,14.0,52,60.0,0.0,5.0,437.0,1859.0,BR,0.0,,0.0,0.0,29.2,29.92,0.7,17,4.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2007-05-10,83,59,71.0,,52,61.0,0.0,6.0,,,BR HZ,,,,0.0,29.26,29.91,2.0,9,3.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2007-05-11,70,51,61.0,4.0,42,51.0,4.0,0.0,436.0,1860.0,NA,0.0,,0.0,0.0,29.33,30.04,11.3,3,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2007-05-11,73,49,61.0,,44,51.0,4.0,0.0,,,NA,,,,0.0,29.39,30.03,11.7,36,12.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2007-05-12,64,46,55.0,-2.0,36,46.0,10.0,0.0,435.0,1901.0,NA,0.0,,0.0,0.0,29.49,30.2,12.4,3,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2007-05-12,65,47,56.0,,37,46.0,9.0,0.0,,,NA,,,,0.0,29.54,30.19,12.7,1,13.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2007-05-13,69,43,56.0,-2.0,33,46.0,9.0,0.0,434.0,1902.0,NA,0.0,,0.0,0.0,29.49,30.24,6.6,14,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2007-05-13,69,44,57.0,,32,46.0,8.0,0.0,,,NA,,,,0.0,29.55,30.24,6.4,11,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2007-05-14,90,56,73.0,15.0,47,59.0,0.0,8.0,433.0,1903.0,NA,0.0,,0.0,0.0,29.23,29.97,16.9,21,17.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2007-05-14,90,54,72.0,,45,58.0,0.0,7.0,,,NA,,,,0.0,29.31,29.98,14.1,21,14.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2007-05-15,80,57,69.0,11.0,56,61.0,0.0,4.0,432.0,1904.0,RA BR,0.0,,0.0,0.38,29.13,29.84,8.1,27,12.3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2007-05-15,82,56,69.0,,56,61.0,0.0,4.0,,,TSRA RA BR,,,,0.6,29.19,29.83,8.1,25,10.8,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1,2007-05-16,66,44,55.0,-4.0,43,48.0,10.0,0.0,431.0,1905.0,RA BR,0.0,,0.0,0.14,29.33,30.03,7.8,36,12.2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2007-05-16,64,45,55.0,,42,47.0,10.0,0.0,,,RA BR,,,,0.07,29.39,30.03,8.0,36,11.8,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2007-05-17,62,43,53.0,-6.0,32,43.0,12.0,0.0,430.0,1906.0,NA,0.0,,0.0,0.0,29.55,30.27,10.5,3,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2007-05-17,61,44,53.0,,32,43.0,12.0,0.0,,,NA,,,,0.0,29.62,30.27,11.7,1,12.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2007-05-18,71,42,57.0,-3.0,30,46.0,8.0,0.0,429.0,1907.0,NA,0.0,,0.0,0.0,29.53,30.25,5.4,25,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2007-05-18,70,43,57.0,,31,47.0,8.0,0.0,,,NA,,,,0.0,29.6,30.26,3.4,22,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2007-05-19,80,56,68.0,8.0,39,53.0,0.0,3.0,428.0,1908.0,NA,0.0,,0.0,0.0,29.34,30.08,11.1,24,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2007-05-19,80,56,68.0,,37,53.0,0.0,3.0,,,NA,,,,0.0,29.41,30.08,11.1,23,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2007-05-20,69,43,56.0,-5.0,40,44.0,9.0,0.0,427.0,1909.0,RA VCTS,0.0,,0.0,0.07,29.38,30.11,10.4,4,10.7,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
2,2007-05-20,69,44,57.0,,41,45.0,8.0,0.0,,,TSRA RA,,,,0.11,29.44,30.11,8.6,3,9.7,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1,2007-05-21,80,44,62.0,1.0,50,56.0,3.0,0.0,426.0,1910.0,NA,0.0,,0.0,0.0,29.33,30.06,6.3,11,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2007-05-21,79,46,63.0,,50,57.0,2.0,0.0,,,NA,,,,0.0,29.39,30.05,6.3,10,7.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2007-05-22,87,55,71.0,10.0,46,58.0,0.0,6.0,425.0,1911.0,NA,0.0,,0.0,0.0,29.34,30.06,10.0,18,10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2007-05-22,87,60,74.0,,44,58.0,0.0,9.0,,,NA,,,,0.0,29.41,30.05,10.1,16,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2007-05-23,89,60,75.0,14.0,49,61.0,0.0,10.0,425.0,1912.0,NA,0.0,,0.0,0.0,29.39,30.1,11.4,19,11.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2007-05-23,89,66,78.0,,48,61.0,0.0,13.0,,,NA,,,,0.0,29.47,30.1,10.9,18,11.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2007-05-24,88,63,76.0,14.0,54,63.0,0.0,11.0,424.0,1913.0,RA HZ,0.0,,0.0,0.02,29.41,30.11,14.9,21,17.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,2007-05-24,88,66,77.0,,53,63.0,0.0,12.0,,,RA HZ,,,,0.0,29.47,30.1,13.8,20,15.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
1,2007-05-25,70,56,63.0,1.0,44,53.0,2.0,0.0,423.0,1914.0,NA,0.0,,0.0,0.0,29.51,30.24,4.9,5,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2007-05-25,66,57,62.0,,46,53.0,3.0,0.0,,,RA BR,,,,0.09,29.57,30.23,4.5,5,8.2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2007-05-26,65,49,57.0,-5.0,55,56.0,8.0,0.0,422.0,1915.0,TSRA RA BR HZ,0.0,,0.0,1.01,29.36,30.11,2.8,17,7.2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1
2,2007-05-26,70,50,60.0,,55,57.0,5.0,0.0,,,TSRA RA BR,,,,0.28,29.42,30.1,2.5,15,7.8,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1,2007-05-27,75,57,66.0,4.0,47,56.0,0.0,1.0,422.0,1916.0,RA BR,0.0,,0.0,0.04,29.34,30.06,8.9,26,9.5,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2007-05-27,75,59,67.0,,49,57.0,0.0,2.0,,,RA BR,,,,0.08,29.41,30.05,8.2,24,9.2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2007-05-28,79,50,65.0,2.0,47,56.0,0.0,0.0,421.0,1916.0,RA,0.0,,0.0,0.0,29.43,30.15,4.8,10,5.3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2007-05-28,76,54,65.0,,49,57.0,0.0,0.0,,,NA,,,,0.0,29.49,30.14,4.7,8,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2007-05-29,88,60,74.0,10.0,58,65.0,0.0,9.0,421.0,1917.0,BR HZ,0.0,,0.0,0.0,29.39,30.11,5.8,18,6.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2007-05-29,88,65,77.0,,59,66.0,0.0,12.0,,,BR HZ,,,,0.0,29.44,30.09,5.8,16,7.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2007-05-30,87,66,77.0,13.0,58,65.0,0.0,12.0,420.0,1918.0,HZ,0.0,,0.0,0.0,29.31,30.04,10.3,19,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2007-05-30,89,70,80.0,,57,66.0,0.0,15.0,,,HZ,,,,0.0,29.38,30.03,9.7,17,10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2007-05-31,78,65,72.0,8.0,61,65.0,0.0,7.0,420.0,1919.0,RA HZ,0.0,,0.0,0.01,29.28,30.0,9.3,19,9.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,2007-05-31,80,68,74.0,,61,66.0,0.0,9.0,,,RA BR,,,,0.53,29.34,29.99,8.9,18,9.2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2007-06-01,85,62,74.0,10.0,63,66.0,0.0,9.0,419.0,1920.0,TSRA BR HZ,0.0,,0.0,0.19,29.19,29.91,4.2,17,6.4,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1
2,2007-06-01,86,67,77.0,,63,67.0,0.0,12.0,,,TSRA BR HZ,,,,0.21,29.25,29.9,4.7,16,5.8,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1
1,2007-06-02,81,65,73.0,9.0,63,67.0,0.0,8.0,419.0,1920.0,RA BR,0.0,,0.0,0.04,29.03,29.77,6.5,22,7.4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2007-06-02,81,68,75.0,,62,67.0,0.0,10.0,,,RA BR,,,,0.0,29.1,29.76,7.5,21,8.2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2007-06-03,78,62,70.0,6.0,60,63.0,0.0,5.0,418.0,1921.0,TSRA RA BR HZ,0.0,,0.0,0.01,28.82,29.56,5.2,25,6.7,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1
2,2007-06-03,77,64,71.0,,60,64.0,0.0,6.0,,,RA BR HZ VCTS,,,,0.32,28.87,29.54,4.9,24,7.2,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1
1,2007-06-04,71,58,65.0,1.0,58,60.0,0.0,0.0,418.0,1922.0,TSRA RA BR,0.0,,0.0,0.39,28.82,29.52,7.8,31,9.7,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
2,2007-06-04,72,56,64.0,,57,60.0,1.0,0.0,,,RA BR,,,,0.31,28.88,29.51,7.9,30,10.1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2007-06-05,64,47,56.0,-9.0,48,51.0,9.0,0.0,417.0,1923.0,RA BR,0.0,,0.0,0.42,29.1,29.79,5.2,5,7.6,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2007-06-05,63,51,57.0,,47,52.0,8.0,0.0,,,RA BR,,,,0.27,29.16,29.78,6.2,3,8.1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2007-06-06,71,44,58.0,-8.0,48,55.0,7.0,0.0,417.0,1923.0,RA,0.0,,0.0,0.01,29.07,29.81,10.8,17,11.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2007-06-06,73,48,61.0,,47,55.0,4.0,0.0,,,RA,,,,0.0,29.13,29.82,9.6,15,10.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2007-06-07,91,71,81.0,15.0,62,69.0,0.0,16.0,417.0,1924.0,NA,0.0,,0.0,0.0,28.84,29.55,22.7,20,23.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2007-06-07,92,71,82.0,,61,68.0,0.0,17.0,,,NA,,,,0.0,28.91,29.55,20.3,19,20.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2007-06-08,81,57,69.0,3.0,53,61.0,0.0,4.0,417.0,1925.0,NA,0.0,,0.0,0.0,29.18,29.85,10.9,28,13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2007-06-08,81,63,72.0,,54,62.0,0.0,7.0,,,NA,,,,0.0,29.24,29.83,9.3,26,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2007-06-09,79,52,66.0,0.0,47,57.0,0.0,1.0,416.0,1925.0,NA,0.0,,0.0,0.0,29.36,30.07,0.3,33,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2007-06-09,79,57,68.0,,49,58.0,0.0,3.0,,,NA,,,,0.0,29.42,30.05,2.4,19,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2007-06-10,81,55,68.0,1.0,51,59.0,0.0,3.0,416.0,1926.0,NA,0.0,,0.0,0.0,29.34,30.05,4.8,17,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2007-06-10,81,61,71.0,,50,60.0,0.0,6.0,,,NA,,,,0.0,29.39,30.04,4.6,16,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2007-06-11,86,58,72.0,5.0,52,61.0,0.0,7.0,416.0,1926.0,NA,0.0,,0.0,0.0,29.41,30.11,4.9,11,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2007-06-11,85,65,75.0,,51,61.0,0.0,10.0,,,NA,,,,0.0,29.47,30.09,6.6,9,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2007-06-12,83,62,73.0,5.0,50,60.0,0.0,8.0,416.0,1927.0,NA,0.0,,0.0,0.0,29.44,30.16,8.3,5,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2007-06-12,82,66,74.0,,51,61.0,0.0,9.0,,,NA,,,,0.0,29.49,30.14,9.4,5,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2007-06-13,87,60,74.0,6.0,53,62.0,0.0,9.0,416.0,1927.0,NA,0.0,,0.0,0.0,29.36,30.09,7.2,5,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2007-06-13,86,68,77.0,,53,62.0,0.0,12.0,,,NA,,,,0.0,29.36,30.09,7.0,5,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2007-06-14,89,64,77.0,9.0,55,64.0,0.0,12.0,416.0,1928.0,NA,0.0,,0.0,0.0,29.3,30.02,5.6,5,6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2007-06-14,89,68,79.0,,54,63.0,0.0,14.0,,,NA,,,,0.0,29.36,30.0,5.9,7,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2007-06-15,91,63,77.0,9.0,56,64.0,0.0,12.0,416.0,1928.0,NA,0.0,,0.0,0.0,29.28,29.99,4.1,6,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2007-06-15,89,67,78.0,,56,65.0,0.0,13.0,,,NA,,,,0.0,29.34,29.97,3.8,9,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2007-06-16,93,66,80.0,11.0,60,67.0,0.0,15.0,416.0,1929.0,RA HZ,0.0,,0.0,0.0,29.26,29.97,4.8,28,5.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,2007-06-16,92,68,80.0,,61,68.0,0.0,15.0,,,HZ,,,,0.0,29.33,29.96,2.1,22,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2007-06-17,91,70,81.0,12.0,64,70.0,0.0,16.0,416.0,1929.0,HZ,0.0,,0.0,0.0,29.23,29.95,2.8,11,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2007-06-17,91,71,81.0,,65,70.0,0.0,16.0,,,HZ,,,,0.16,29.28,29.93,4.0,11,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2007-06-18,89,69,79.0,9.0,65,70.0,0.0,14.0,416.0,1929.0,TSRA RA HZ,0.0,,0.0,0.28,29.12,29.84,14.0,20,15.1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
2,2007-06-18,89,73,81.0,,65,70.0,0.0,16.0,,,TSRA RA HZ,,,,0.02,29.19,29.83,12.2,20,12.6,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
1,2007-06-19,80,65,73.0,3.0,55,63.0,0.0,8.0,416.0,1930.0,RA,0.0,,0.0,0.58,29.26,29.95,10.7,28,11.4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2007-06-19,81,65,73.0,,55,63.0,0.0,8.0,,,RA BR,,,,0.93,29.31,29.93,10.1,29,11.3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2007-06-20,84,61,73.0,3.0,52,61.0,0.0,8.0,416.0,1930.0,NA,0.0,,0.0,0.0,29.39,30.1,7.8,27,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2007-06-20,85,62,74.0,,50,61.0,0.0,9.0,,,NA,,,,0.0,29.46,30.09,5.9,28,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2007-06-21,77,61,69.0,-1.0,51,60.0,0.0,4.0,416.0,1930.0,RA,0.0,,0.0,0.01,29.36,30.08,3.5,3,10.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2007-06-21,80,66,73.0,,51,61.0,0.0,8.0,,,RA,,,,0.0,29.41,30.06,3.7,2,9.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2007-06-22,76,61,69.0,-1.0,50,58.0,0.0,4.0,417.0,1931.0,RA,0.0,,0.0,0.0,29.33,30.06,7.8,6,8.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2007-06-22,75,62,69.0,,49,58.0,0.0,4.0,,,RA,,,,0.0,29.39,30.05,6.5,7,8.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2007-06-23,67,62,65.0,-5.0,58,61.0,0.0,0.0,417.0,1931.0,RA BR,0.0,,0.0,0.05,29.23,29.96,7.6,12,9.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2007-06-23,68,61,65.0,,60,62.0,0.0,0.0,,,RA BR,,,,0.34,29.28,29.95,7.3,11,8.1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,2007-06-24,77,63,70.0,-1.0,62,65.0,0.0,5.0,417.0,1931.0,BR HZ,0.0,,0.0,0.0,29.26,29.97,7.0,9,8.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2007-06-24,75,65,70.0,,62,65.0,0.0,5.0,,,BR HZ,,,,0.0,29.33,29.96,5.6,10,6.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2007-06-25,89,65,77.0,6.0,66,70.0,0.0,12.0,417.0,1931.0,BR HZ,0.0,,0.0,0.0,29.38,30.07,3.9,14,6.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2007-06-25,86,67,77.0,,67,70.0,0.0,12.0,,,BR HZ,,,,0.0,29.44,30.06,4.0,12,5.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2007-06-26,92,70,81.0,10.0,69,72.0,0.0,16.0,418.0,1931.0,TSRA BR HZ VCTS,0.0,,0.0,0.16,29.39,30.11,6.1,22,7.1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,1
2,2007-06-26,91,73,82.0,,69,72.0,0.0,17.0,,,BR HZ,,,,0.0,29.45,30.09,7.3,21,8.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,2007-06-27,91,71,81.0,10.0,70,72.0,0.0,16.0,418.0,1931.0,TSRA,0.0,,0.0,0.15,29.29,30.02,7.5,24,8.8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
2,2007-06-27,89,71,80.0,,69,72.0,0.0,15.0,,,TSRA RA BR,,,,0.35,29.36,30.0,7.9,24,8.5,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
1,2007-06-28,74,58,66.0,-5.0,55,60.0,0.0,1.0,419.0,1931.0,NA,0.0,,0.0,0.0,29.41,30.09,11.9,3,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2007-06-28,73,61,67.0,,56,61.0,0.0,2.0,,,NA,,,,0.0,29.43,30.07,12.2,2,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2007-06-29,70,56,63.0,-8.0,55,59.0,2.0,0.0,419.0,1931.0,NA,0.0,,0.0,0.0,29.41,30.13,7.6,2,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2007-06-29,71,56,64.0,,56,60.0,1.0,0.0,,,NA,,,,0.0,29.47,30.11,7.4,2,8.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2007-06-30,79,54,67.0,-5.0,46,56.0,0.0,2.0,419.0,1931.0,NA,0.0,,0.0,0.0,29.41,30.13,4.9,3,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2007-06-30,77,58,68.0,,49,58.0,0.0,3.0,,,NA,,,,0.0,29.46,30.11,5.1,4,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2007-07-01,75,54,65.0,-7.0,52,58.0,0.0,0.0,420.0,1931.0,NA,0.0,,0.0,0.0,29.51,30.23,8.6,4,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2007-07-01,76,61,69.0,,51,59.0,0.0,4.0,,,NA,,,,0.0,29.56,30.21,9.5,4,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2007-07-02,79,53,66.0,-6.0,50,58.0,0.0,1.0,420.0,1931.0,NA,0.0,,0.0,0.0,29.49,30.22,5.9,14,8.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,2007-07-02,77,58,68.0,,50,59.0,0.0,3.0,,,NA,,,,0.0,29.55,30.21,7.4,12,8.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,2007-07-03,83,60,72.0,0.0,57,63.0,0.0,7.0,421.0,1931.0,TSRA RA BR,0.0,,0.0,0.4,29.31,30.06,6.7,21,7.3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
2,2007-07-03,83,63,73.0,,56,63.0,0.0,8.0,,,TSRA RA,,,,0.09,29.38,30.05,6.4,21,7.4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
