company,review_header,rating,pro,con,date_author
Administrate,One of the best work environments,5.0,"I've been at Administrate MENA for about 5 months now, everyone here and over at the headquarters(thousands of miles away) made me feel so welcomed from the first day. The four-day work policy is simply the best! You tend to put more effort to your daily tasks and at the same time have a Work/Life Balance.",None during these five months.,1 Mar 2017 - Marketing Executive
Administrate,All good,4.0,"Nice place to work for, good thing about 4 days working week, beer and pizza!",I believe that the company should introduce more trainings,11 Oct 2016 - Software Engineer
Administrate,"Friendly, challenging and rewarding",5.0,Administrate is growing fast and has a lot of opportunity to get stuck into all sorts of technical and logistical challenges. There is a lot of support for people at every level so you can progress well without much previous experience all the way to being top of your profession! All the way the team is friendly and helpful with approachable managers and leaders.,It's a lot of hard work - you will need the extra day in your weekend to relax (even though the 4 days really is just 32 hours). Not recommended if you don't enjoy the startup roller coaster!,26 Aug 2016 - Anonymous Employee
Administrate,Great place to work,5.0,"- We're a fast growing company, so it's consistently engaging.
- Amazing work/life balance (4 day work week, great social events).
- Relatively new market with a developing product",There are product features we'd like to roll out but can't because we can't make enough new hires.,17 May 2016 - Account Executive
Administrate,Administrate has built an impressive team!,5.0,"Administrate's evolution from start-up to scale-up is in full swing.  The atmosphere is abuzz with fresh ideas and motivated people.  Company strategy is focused on building the right team to achieve its goals.  I come to work everyday knowing my effort makes a difference.  

I like being surrounded by smart people who are committed to a culture of accountability and transparency.  Administrate's values are rooted in continuous improvement so my professional skills are always being challenged, which feeds my desire to keep learning.",Gorgeous castle views can be a bore and the four-day work week means lots of time for personal adventures.,12 May 2016 - Anonymous Employee
Administrate,Work/Life balance,3.0,"With 4 days on and 3 off, Administrate offer great work/life balance for employees.",As a dynamic start-up with a the company often needs to change direction or accommodate change rather quickly.,16 May 2016 - Anonymous Employee
Administrate,Great place to work!,5.0,"Great people and culture. Values aren't just a poster on the wall, but dictate the decisions and direction of the company. People respect each other and I can tell that I will develop lifelong relationships here. Everyone works hard and there is a sense that we are all a part of something much bigger than ourselves. I feel purpose in what I do here, to the point where I feel intrinsically motivated to work here.","Although we are growing fast, it sometimes feels like we are growing a little too fast.
Salary could be higher.",26 Jul 2015 - 
Administrate,Good place to work,5.0,"Growing fast.  Very fast.  The holiday policy is amazing.  Fun people.  Fast pace.  The business is run very transparently.  This is super refreshing.  There's even an internal dashboard tool that shows finances, planning, how development is proceeding, how support is doing, etc.

Honestly, I've already been mentioning opportunities at Administrate to several former colleagues.  It's a good place to work.","Monetary compensation isn't industry standard, but the holiday package makes up for it.  At my point in life, having 6 weeks off a year was worth more to me than a few percentage points on salary.",15 Apr 2015 - 
Administrate,I'm a smarter person now.,5.0,"Real investors in people, always encouraging radical thinking, a great place to showcase your talent.  Dynamic team, good working conditions, fair pay for fair work.","Things change fast, you need to be 100% focussed to keep up.",28 Apr 2015 - Anonymous Employee
Administrate,Fast Growing Company,5.0,"This is a fast growing company that puts a lot of emphasis on responsibility, customers, personal development, and a great work environment.","Like many startups, the compensation package isn't the best, but it is definitely improving, particularly in the last few months.  Management has made improving this a priority.",22 Dec 2014 - 
Administrate,Great team.,5.0,"Really great team - always pushing each other to improve, tons of respect between team members. Everyone has a direct impact on the product, and you can feel that even the 'little' things day-to-day make a difference to customers.","Tons of pressure, for the most part all good, but sometimes can be a little overwhelming. Much technical debit inherited from days gone by, although step-by-step being removed or replaced.",22 Dec 2014 - Senior Support Engineer
Advice Direct Scotland,Good place for work,5.0,"Helpful colleagues
4 days working
Good Learning opportunities",Never had any bad experience,10 Mar 2022 - Anonymous Employee
Advice Direct Scotland,Innovative Company,5.0,Great company to work for. Forward thinking and everyday is different.,No cons that come to mind,21 Feb 2022 - Anonymous Employee
Advice Direct Scotland,Overall Good experience,4.0,"Good working environment
Helpfull management
Flexile working hours",Nothing till now. Overall good experience,16 Jan 2022 - Customer Service Advisor
Advice Direct Scotland,Worst Organisation I have ever had the misfortune to work for,1.0,4 day working week - the day off during the week is useful as Mental Health day to recover from the other 4,"Blame culture - how it happened is not as important as who is to blame.  
Inter-departmental meeting are an opportunity to blame everyone else for  not meeting targets
Confusing and often conflicting directives which leads to duplicated work.
Constant recruitment and induction training to meet the high turnover of staff.",14 Feb 2022 - Learning and Development Manager
Advice Direct Scotland,Avoid at all costs,1.0,4 day working week is about it,"Work well over contracted hours with no pay
It's not what you know, it's who you know
High staff turnover
No organisation or leadership",2 Apr 2021 - Anonymous Employee
Advice Direct Scotland,n/a,3.0,hours and 4 day working week,management and senior management are insensitive to one's mental health or time off needed,20 Jan 2021 - Customer Service Associate
Advice Direct Scotland,High turnover for a reason,2.0,"Progressive on paper, hours of work usually between 8 and 6","Tries to be like the CAB, without the same level of support, resources or quality",6 Dec 2020 - 
Applied Reviews,A place to do the best work of your career,5.0,"The people are bright and full of passion for the mission and because the team has been assembled using Applied's own CV-less assessment platform, it's easy to have complete trust in the competence of those working alongside you. 

Leadership is transparent, accountable and approachable. The company works towards outcomes and it feels as though we are genuinely empowered to take ownership of those. 

There's plenty of scope to own and drive change (one of the company's values) as an individual or as a team, and plenty of support when you do. 

Culturally, it's expected that work can and should be completable within normal hours. My days are full of challenging work, but I don't work into the evenings and definitely not at weekends (I even got warned to log off Slack and relax once!) 

It's a brilliant place to work if you're a proactive, mission-driven person who wants to solve challenging problems. There's the potential to do the best work of your career, for sure","The company is (almost) fully remote. This isn't really a con in my book, but it might not be right for everyone. The company does offer the option to work from co-working spaces (largely around London), but there's no guarantee that you'll have facetime with your team mates.",4 Dec 2021 - Product Manager
Applied Reviews,lack of a clear direction as a company,2.0,"great mission, hardworking team and a sense of purpose",lack of clear direction as a company.,28 Oct 2021 - Private
Applied Reviews,"Great mission, great people",5.0,"- A lot of ownership and autonomy given. If there's something you want to do- you'll have the support needed for it, and people to collaborate with
- Fantastic mission, and employees that really believe in making the world better
- Smart, hard working, collaborative people- even remotely, you can always find many topics of conversation with anyone on the team
- Very data driven, actually looking at the research to understand how to improve hiring
- Fast growth and high ambition","- As with an early stage startup: things change quickly and require adapting. This can stretch you but that's not necessarily a con, because there's support for when you're not sure what to do.",10 Sept 2021 - Anonymous Employee
Applied Reviews,What a great team!,5.0,Great people with lots of learnings.,Startup life can be challenging.,19 Jul 2021 - Sales
Applied Reviews,Really enjoyed my time here,5.0,"- learned a lot
- great, skilled. friendly colleagues. very collaborative.
- flexible work arrangements, very autonomous - you're trusted to manage your time and are given freedom to balance your personal / family life however suits you
- your opinion matters, it's definitely more about the quality of what you're saying than your seniority. company is very data-driven so if you can back up what you're saying it's taken very well
- possibility of getting involved with things across the company, so if you're interested in cross-functional work it's great.
- the company mission is great, customers generally in very interesting companies and this does shape the culture positively","- very busy, you'll have to learn quickly and won't ever get everything done
- you have to be very proactive about advocating for yourself + the support you need. you need to set boundaries for how much you can get done
- you'll grow very quickly but this isn't necessarily reflected in salary progression as quickly as it would in a more established company",1 Jun 2021 - Customer Success Manager
Applied Reviews,"Nice People, little care for individual employees",1.0,"Nice individuals, colleagues were generally decent people","Not much loyalty towards employees. Most employees were laid off in the thick of the pandemic, even though the chancellor offered a lifeline",21 May 2021 - Anonymous
Applied Reviews,Great place to work,5.0,Amazing team and mission - feels like management genuinely care about wellbeing.,"Lower salary, but to be expected from startup",28 Jan 2021 - Marketing
Applied Reviews,Applied was good once... but not anymore,2.0,"Good communication, being able to participate in projects from other teams, everyone really friendly, flexible working hours, working from home","- Direct managers are not good. They don't help you at all. 1:1s don't solve anything
- Low salary
- No career progression (and the progression framework is bad)
- They say they care about you and give you nice things (like wellbeing benefits, therapy through spill), but deep down they don't care. They start treating you differently once you have a health issue.",1 Feb 2021 - Anonymous
Applied Reviews,Revolutionary product and a fantastic group of people to work with,4.0,Flexibility and trust to do your best work however suits.,The same as any other early-stage startup,3 Dec 2020 - Growth Partnerships Manager
Applied Reviews,Nice to work,4.0,Good company to work with,Low base pay for beginners,21 Jun 2020 - ASIC Design Engineer
Applied Reviews,Great company to work for with good social values.,3.0,"Dynamic environment, Supportive team, Flexible working.","Below expected pay, unusual company structure.",30 Jun 2020 - Sales
Applied Reviews,Software Development Engineer,4.0,Very good. work life balance,Not important. more pros than cons,27 Aug 2019 - Anonymous Employee
Applied Reviews,Outstanding place to work!,5.0,Love the mission and the team! Great bunch of people (from some rather weird and wonderful backgrounds) looking to do good in the world by helping the team perform well.,No real cons to mention. I will say that working for a startup really does stretch you at times - but it's OK if you don't always know the answer.,25 Jul 2019 - Senior Account Manager
Applied Reviews,stay home mom,5.0,very good company and work culture,long hours and long commute,24 Mar 2019 - Anonymous Employee
Arken Legal,A wonderful company to work for!,5.0,A talented team of people and a great culture.,I have no cons to list.,19 May 2022 - Head of Talent
Atom Bank,Fantastic company,5.0,"Culture, progression options, hybrid working, 4 day week",Some processes are very slow,28 Jun 2022 - Business Development Manager
Atom Bank,Great culture but growth changes companies,4.0,"The people are all pretty amazing! 
Used to be great and still can be for career development opportunities. 
The goal is one to be passionate about and you can feel that across the organisation.","The company changed the culture as it grew as expected and it made working life more difficult for those early starters. 
With it being a start up there is often a very frequent shift if priorities.",27 Jun 2022 - Project Manager
Atom Bank,Flexible,4.0,4 day working week is great,Career development is limited at times,5 Jun 2022 - Manager
Atom Bank,Great place to work,5.0,"* lots of communication- from regular updates on direction of the business, to business performance right down to drop in sessions to support development in areas such as coaching . This includes regular updates from CEO and COO, lots of interaction with senior figures who do care about everyone's wellbeing.

* reward and recognition- big emphasis on welcoming people into the organisation, celebrating moves and promotions and rewarding those who do a great job.

* supportive culture - there is a lot of support available from lots of avenues should you need it. I was lucky enough to have a really supportive Line Manager and structure around me.

* innovative- always looking to improve for staff and customers. Lots of advancement in app and the move to a 4 day working week are just 2 examples of this.","Not so much cons but.. 
* maybe take stock/more care when rolling out updates and understand more fully the impact on customers before going live. Any issues are usually corrected really quickly but it would be great to get it right first time.",23 Mar 2022 - Customer Service Team Manager
Atom Bank,"Great people, awful place",2.0,"The culture is the main reason you stay at this company. The people lower down the pecking order are the ones making the experience bearable with the very active social life that the company encourages.

The benefits such as bonuses are good but the way they are dished out is pretty poor and favours the people at the top rather than the people carrying the business.","The management is diabolical and a joke at times. Everything is a priority which makes nothing a priority which creates unfair pressure on staff members who are juggling multiple roles since Atom favours overloading staff rather then replacing empty vacancies. There is also unaddressed issues related to discrimination as well as people in power getting away with inappropriate behaviour which is covered with “that’s just ___ for you”.

Progression is very present at Atom. Your progression of responsibilities and stress is continuously reviewed and increased, it's just a shame the same doesn't happen with your pay.",7 Mar 2022 - Anonymous Employee
Atom Bank,"Forward thinking, people first, 4 day week",5.0,"4 day week
Rapid progression
Excellent culture","There have been stressful periods in the past, but not recently.",4 Feb 2022 - Data Scientist
Atom Bank,"Excellent culture and progression, plus a 4 day work week",5.0,"The space for development at Atom is fantastic, with the ability to take on as much responsibility as you want. The culture is one of inclusivity and encouragement, and the 4 day work week means that everyone shows up with 100% commitment every day.","The bank was initially built by a group of people with an old fashioned banking background, and there is still some technical debt that haunts us from some of the older systems we use.",14 Dec 2021 - Data Scientist
Atom Bank,Kangaroo Exec,2.0,4 day week kerching yes!,Management have no idea how to run a bank,8 Dec 2021 - Portfolio Manager
Atom Bank,"Great Place, work hard, play hard - change banking.",5.0,"If you want somewhere that is looking to do things differently to other banks and put the customer first then look at Atom.

Yes it is hard work (but doing something new is)

Yes you will have set backs (but you will be supported)

You will meet some great people who working on the same vision as you

You will have fun whilst doing it

Great opportunities internally to try different disciplines within the bank

Flat structure and ability to get changes made.","It can be stressful at times.

Company moves at pace on deliverables.",12 Oct 2021 - Anonymous Employee
Atom Bank,Potential to be amazing,4.0,"• Great people to work with 
• Lively office space (pre-covid)
• Flexible working
• Management","• Day to Day work isn’t really “UX”
• Far too much technical debt that will never get looked at  
• Focus is number of app releases rather than fixing things
• For an App only bank, its lacking the technology like any other app, e.g allowing FaceID to log in. This stems from stakeholders not trusting modern technology. 
Everyone else is doing it, why not here?
• No clear roadmap of what your workload will be, here’s this do it now approach.
• Felt like drawing blood from a stone to achieve a pay-rise especially when you hear it happening all the time in different departments
• Role is not salary benchmarked
• No role progression
• Company would rather re hire juniors/grads than invest in people who have been there for time",28 Sept 2021 - User Experience Designer
Atom Bank,Great company,5.0,"Customer centric, leadership team genuinely committed to changing banking, interesting projects and great benefits.",Projects often get delayed which can be frustrating,21 Sept 2021 - Anonymous Employee
Atom Bank,Disappointing,3.0,"- Great health care, pension and flexibility around working hours

- Good progression opportunities for business facing folks looking to get into engineering

- Nice people

-","- Management continue to obscure the truth, frequently lying in company wide meetings about the statuses of our deliverables (extremely patronising for those actually developing the features)

- Prioritisation and strategy seems to be managed via blind selection from a hat.. they change weekly, mid sprint, constantly

- Technical management continue to make bad judgement calls around strategic architectural decisions, often accepting technical debt which is never resolved.. and results in customer facing incidents

- The organisation more recently has favoured recruiting 'near-shore' developers, prioritising cheaper labour with the intent to deliver more features. The result is an extremely poor code base which lacks standards, consistency and is held together by sticky tape and blu tack",25 Sept 2021 - Software Engineer
Atom Bank,Great Place to be,5.0,"Great People
Great Environment
Great Benefits
You really are part of a team building something for the future",There are no cons at Atom,10 Sept 2021 - Regional Sales Manager
Atom Bank,Everything it promised to be!,5.0,"Every employee is really valued for their individual contribution. 
Everyone has the opportunity to make a difference and see a direct output to their efforts in growing the Bank. 
Good recognition and support in all aspects",Currently there are no negatives to working at Atom Bank. The environment is fast paced and ever changing which may be perceived as a negative to some however I truly see this as a positive,3 Aug 2021 - Anonymous Employee
Atom Bank,"Once pioneering, now just safe and normal.",3.0,"+ Great benefits package
+ Friendly people and environment
+ Rural location - great lunchtime walks
+ Cafe was excellent (pre-COVID)
+ Ability to change roles within bank with support","- Frequent swapping between teams
- Projects are not organised like they should be - too many bottlenecks
- Some departments feel like they're not pulling their weight compared to others
- Direction of the bank/app feels very unfocused/confused
- Too much tech debt/bug fixes
- No exciting new/innovative additions to the app - feels like every other banking app now
- No real career progression
- Genuinely passionate and creative people have been replaced with traditional bank workers",30 Jul 2021 - Software Developer
Atom Bank,Avoid the contact centre,2.0,"Decent work culture, small but effective team, used the be a great place to work.","FAR too much stress for what they pay you.
Terrible management who care more about getting new products out than the well-being of staff or customers.
There is a reason why 10+ people have quit in the last few months
You are lied to
No career opportunities if you are a good CSA, they just want to keep you there.
If you are a CSA, you will not be able to get involved with any of the meetings/events going on around the business. As you are glued to your desk.
Long hours that drag on.",10 Jul 2021 - Customer Support Agent
Atom Bank,Good place to work with some problems,3.0,"great benefits, good atmosphere, friendly people, nice office","tech staff underpaid, executive management, lack of progression",5 Jul 2021 - Test Analyst
Atom Bank,AVOID,1.0,Can’t think of any pros to working at Atom.,"• Terrible management who lie to CSA’s constantly. 
•No career progression, you need to jump through hoops to get something you deserve and have worked for but make ‘exceptions’ going outside the policy for certain individuals. If you have a policy, stick by it. 
• HR are utterly useless, you will need to wait a month to get a simple reply and then they still don’t solve the issue. 
•HR department need some actual training to actually deal with employees issues 
•Emails for social events and late starts are sent to everyone with a ‘please note’ attached disregarding all contact Center workers. These emails are sent to all front line workers knowing we can’t attend any of these social events. 
•Contact Center staff and highly underpaid and under appreciated by all parts of the business. 
•Other departments are rude to contact Center workers and put their workload on the Skelton staff 
• The tech team and unable to solve any app issues and the business just focus on reviews and new products instead of fixing the actual issues with their app. 
•During busy periods management add a ridiculous amount of unneeded stress onto CSA’s. We are constantly told how my calls are queuing even though they know everyone is busy. 
•If Atom sort their issues out everyone in the contact Center won’t be depressed. Contact Center works need more appreciation and support. 
•There is a reason half the contact Center has left, including people who have worked their for 3+ years. 
•There is far too much unneeded stress put on CSA’s. 
•We had a feedback form sent every month which was anonymous and we could put our comments about work on. But when we did management would add comments disregarding what issues were brought up and did nothing about the issues raised.",10 Jul 2021 - Customer Support Agent
Atom Bank,OK,3.0,"Nice people, too much to do","Keep changing priorities, no clear strategy",13 May 2021 - Business Analyst
Atom Bank,Great place to work with a great management team,5.0,"Fantastic team to work with all feel appreciated and also great pay, great benefits,",no downside unless you don't like a constantly changing fast-paced working environment,23 Apr 2021 - Regional Business Development Manager
Atom Bank,***,5.0,"Great managers, supportive development overall",Changes too quickly and lacks direction,22 Apr 2021 - Team Leader
Atom Bank,Great company to work for,5.0,"Staff development, culture, prospects, the mission to deliver a bank of the future",none that I can think of,10 Mar 2021 - Resource Planning Analyst
Atom Bank,Most fun place I've ever worked.,5.0,"- Never been a boring day since I started working here.
-Interesting projects.
- Lots of freedom.
- Great people.",Project deadlines are sometimes a bit unrealistic.,10 Mar 2021 - Engineer
Atom Bank,Could have been amazing...,2.0,"Some of the best people I have ever worked with, people who genuinely care about their colleagues and the company. The premise is great, the culture USED to be great...",Awful culture. Massive pressures to overwork/work-life balance very limited. No career progression. No annual salary reviews. Poor bonus scheme. Boys club exists within Senior Management.,11 Mar 2021 - Anonymous Employee
Atom Bank,Fantastic,5.0,"Honestly so much, hard place to beat particularly in the North East.",It's hard work but nothing good ever came easy!,26 Jan 2021 - Anonymous Employee
Atom Bank,Great Place,5.0,A great place to work,Very few cons to working here,14 Jan 2021 - CSA
Atom Bank,Decent graft,5.0,Many pros imo. Good place,Not many to note imo,8 Jan 2021 - Anonymous Employee
Atom Bank,Bad hours,1.0,Independence is good but no team work,No human contact. Rubbish salary,26 Jan 2021 - Senior Cloud Architect
Atom Bank,Very caring people with a genuine vision,5.0,"Very supportive management, excellent development prospects, heaps of ""extra-curricular"" fun (inside and out of working hours), excellent benefits and very fair salary (technology role)","Extremely optimistic company goals over the last year have led to increased stress, although this has also given us a lot to be proud of",10 Dec 2020 - Anonymous Employee
Atom Bank,Fantastic company,5.0,Good benefits. Good leadership. Positive atmosphere,None that I can think of,6 Dec 2020 - Customer Service
Atom Bank,Excellent company to work for,5.0,"Excellent T&C.
Open, honest, caring and friendly staff. 
Atom really cares for it's employees.",I don't have any at the moment :),1 Dec 2020 - Customer Support Agent
Atom Bank,"North-east, good benefits, mixed tech stack. Feels more like a like a traditional bank with an app not a digital bank.",3.0,"- Some great people at the company, there's a small contingent of people running the bank
- Lots of cloud-native technologies being used in pockets within the bank
- Health benefits, pension, overtime are good, potential bonus also good, although was 0 for my time there
- Great progression/rotation in other parts of the business into technology, lots of instances of CSAs being upskilled/trained into other roles.
- Nice office (pre covid), northeast based. Play room, beer friday and fruit 2x a week","- The technology department is not Agile, favouring waterfall (but actively advertises it in job postings etc)
- Limited time/opportunity for learning other than ""on-the-job""
- Enormous amount of technical debt due to project timelines and and ""get it in"" and ""fix it later"" attitude and no plan/will to address
- The bank has moved from one ""Bank-in-the-box"" platform to a different one, the large part of the integration work with the new platform is now done and therefore there is limited scope of interesting engineering work IMO.
- Technical/engineering decisions are often dictated by management
- Clarity (and timeliness) of business requirements for projects are a large pain point
- No real upward progression path for Engineers, upward salary band is limited when comparing against remote roles",13 Nov 2020 - Software Engineer
Atom Bank,Just Another Bank,2.0,"great company
good salary and great benefits
decent opportunities
in the right area of the business I think you'd really enjoy it","problems are in technology
very rushed projects now 3 on a row
managers always asks us to work this weekend, forgetting that we're already working weekends for months to try to catch up with their demands
loads of Tech Debt, which we can't address since we're so busy
outdated stack. we've used some cloud tech, but are still playing catch up
lots of engineers are leaving or are thinking of it as nothing ever changes
process after process after process. i can't keep up with all the jira labels and components to get anything done",20 Oct 2020 - Engineer
Atom Bank,Excellent Place to work,4.0,Working with new technologies and have their eyes on future development,Lacking in some areas - heavy reliance on google drive for things like reviews.,19 Oct 2020 - Business Analyst
Atom Bank,Great company,5.0,"Amazing culture with great employee rewards.
Lots of scope for progression within the company.
Good pay.",Not much scope for progression within the department.,6 Oct 2020 - Lending Specialist
Atom Bank,good vibe,4.0,Arom is Like one big family,Your face has to fit,3 Aug 2020 - Team Leader
Atom Bank,Great place to work,5.0,Atom is a great place to work with plenty of room for progression,There are no cons I can say currently,11 Apr 2020 - Customer Support
Atom Bank,Great Company Trying to do the Right Thing,4.0,"Start-up vibe. 
Close-knit teams that are caring.
Big aspirations and vision.","Try to do deliver too much in too short time with too few resources. 

Start-up mentality that’s not as mature as they think.

Lack of planning which contributes to the root of many delivery issues.

Tail wagging the dog; shareholders dictate unrealistic expectations.",11 Feb 2020 - Test Manager
Atom Bank,Great place to work,5.0,"Great place to work, best in the NE","Nothing really, challenging and fast paced",17 Dec 2019 - Anonymous Employee
Atom Bank,My Time at Atom,4.0,"Competitive Pay
Fast Moving
Agile
Verity of Tech","Difficult to Progress
Can feel overlooked",20 Dec 2019 - Junior SRE
Atom Bank,Just Great!,5.0,"Great staff, great benefits, great flexibility. The challenge is great but so is the reward. The people here are first class. Very fast paced",None thank I can think of,5 Dec 2019 - Engineer
Atom Bank,Fantastic Place to work! :),5.0,"Great Benefits
Friendly Management
Looks after staff",A little out of the way if not from Durham,15 Nov 2019 - Site Reliability Engineer
Atom Bank,Great place to work,5.0,"Social, supportive, progression, culture, rewards",Nothing to mention here at all,22 Jul 2019 - Analyst
Atom Bank,Excellent,5.0,"Look after staff
Pay well 
Great Benefits,",None great company to work for,7 Jul 2019 - Regional Sales Manager
Atom Bank,Great place to work,5.0,"Good Benefits, Good Pension Scheme, Bonus",There is no cons to note,6 Jun 2019 - Test Engineer
