id,pid,ms subclass,ms zoning,lot frontage,lot area,street,alley,lot shape,land contour,utilities,lot config,land slope,neighborhood,cond 1,cond 2,bldg type,house style,overall qc,overall cond,yr built,yr remod/add,roof style,roof matl,exter 1st,exter 2nd,mas vnr type,exter qc,exter cond,foundation,bsmt qc,bsmt cond,bsmt exposure,bsmtfin type 1,bsmtfin type 2,bsmt unf area,total bsmt area,heating,heating qc,central air,electrical,1st flr area,living area,bsmt full bath,bsmt half bath,full bath,half bath,bedroom abvgr,kitchen abvgr,kitchen qc,totrms abvgrd,functional,fireplaces,fireplace qc,garage type,garage yr blt,garage finish,garage cars,garage area,garage qc,garage cond,paved drive,pool qc,fence,misc feature,mo sold,yr sold,sale type,saleprice,log saleprice,age,total area
1044,527451290,2-Story PUD - 1946 & Newer,RM,21.0,1680,Pave,NA,3,Lvl,3,Inside,2,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,5,5,CBlock,5,5,1,5,1,96.0,483.0,GasA,5,Y,4,483,987,0.0,0.0,1,1,2,1,5,4,7,0,0,1,1971.0,1,1.0,264.0,5,5,2,0,0,NA,7,2008,COD,85400,11.355101379776661,37,1734.0
2752,906380150,1-Story 1946 & Newer All Styles,RL,64.0,7488,Pave,NA,2,Lvl,3,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,7,5,PConc,7,5,3,6,1,815.0,1208.0,GasA,9,Y,4,1208,1208,0.0,0.0,2,0,2,1,7,6,7,0,0,5,2005.0,2,2.0,632.0,5,5,2,0,0,NA,2,2006,WD ,183600,12.120514757168527,1,3048.0
807,906226060,2-Story 1945 & Older,RL,120.0,26400,Pave,NA,3,Bnk,3,FR2,2,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,7,5,PConc,0,0,0,0,0,0.0,0.0,GasA,9,Y,4,1288,2016,0.0,0.0,1,0,4,1,5,7,4,1,5,5,1900.0,1,2.0,576.0,5,5,1,0,0,NA,6,2009,WD ,131000,11.782952602183288,129,2592.0
1177,533236070,2-Story PUD - 1946 & Newer,FV,24.0,2645,Pave,Pave,3,Lvl,3,Inside,2,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,7,5,PConc,7,5,1,6,1,147.0,960.0,GasA,9,Y,4,962,1607,1.0,0.0,2,1,3,1,7,7,7,0,0,1,2000.0,1,2.0,480.0,5,5,2,0,0,NA,12,2008,ConLD,200000,12.206072645530174,9,3047.0
1480,907418040,1-Story 1946 & Newer All Styles,RL,74.0,9627,Pave,NA,3,Lvl,3,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,7,5,PConc,7,5,3,6,1,1327.0,1351.0,GasA,9,Y,4,1361,1361,0.0,0.0,2,0,3,1,7,6,7,0,0,5,2007.0,2,2.0,610.0,5,5,2,0,0,NA,6,2008,WD ,193000,12.170445467887022,1,3322.0
324,923202105,1-Story 1946 & Newer All Styles,RL,93.0,10114,Pave,NA,3,Lvl,3,Inside,2,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,5,5,PConc,9,5,3,1,1,1430.0,1430.0,GasA,9,Y,4,1430,1430,0.0,0.0,2,0,3,1,7,7,7,0,0,5,2004.0,2,2.0,624.0,5,5,2,0,0,NA,3,2010,WD ,173500,12.063932878369052,6,3484.0
1311,902301140,2-Story 1945 & Older,RM,34.0,4571,Pave,Grvl,3,Lvl,3,Inside,2,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,5,5,BrkTil,5,5,1,1,1,624.0,624.0,GasA,3,N,4,624,1344,0.0,0.0,1,0,4,1,5,7,7,0,0,1,1916.0,1,3.0,513.0,3,3,2,0,0,NA,5,2008,COD,98000,11.49272275765271,92,2481.0
770,905101490,1-Story 1946 & Newer All Styles,RL,80.0,8816,Pave,NA,3,Lvl,3,Corner,2,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,5,5,PConc,5,5,1,3,1,470.0,1121.0,GasA,5,Y,4,1121,1121,1.0,0.0,1,0,3,1,5,5,7,0,0,1,1963.0,1,2.0,480.0,5,5,2,0,3,NA,6,2009,WD ,139000,11.842229212112828,46,2722.0
2063,905107140,1-Story 1946 & Newer All Styles,RL,71.0,8197,Pave,NA,3,Lvl,3,Inside,2,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,5,5,CBlock,5,5,1,1,1,660.0,660.0,GasA,9,Y,4,1285,1285,0.0,0.0,1,1,3,1,5,7,7,1,5,5,1977.0,2,2.0,528.0,5,5,2,0,3,NA,4,2007,WD ,143500,11.874090314181814,30,2473.0
69,528458070,2-Story 1946 & Newer,FV,72.0,8640,Pave,NA,3,Lvl,3,Inside,2,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,5,5,PConc,7,5,2,6,1,732.0,756.0,GasA,9,Y,4,764,1547,0.0,0.0,2,1,3,1,7,7,7,0,0,5,2009.0,1,2.0,614.0,5,5,2,0,0,NA,6,2010,Con,215200,12.279323107269766,1,2917.0
2062,905106150,1-Story 1946 & Newer All Styles,RL,109.0,8724,Pave,NA,3,Lvl,3,Inside,2,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,5,5,CBlock,7,5,1,4,1,402.0,894.0,GasA,7,Y,4,894,894,0.0,0.0,1,0,3,1,5,5,7,1,2,5,1968.0,3,2.0,450.0,5,5,2,0,0,NA,5,2007,WD ,129000,11.76756768334381,39,2238.0
351,527131030,1-Story PUD (Planned Unit Development) - 1946 & Newer,RL,40.0,5664,Pave,NA,2,Lvl,3,Inside,2,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2000,2000,Gable,CompShg,CemntBd,CmentBd,None,7,5,PConc,7,5,1,6,1,343.0,1501.0,GasA,9,Y,4,1659,1659,1.0,0.0,2,0,2,1,9,5,7,1,9,5,2000.0,3,2.0,499.0,5,5,2,0,0,NA,10,2009,WD ,278000,12.535376392672774,9,3659.0
12,527165230,1-Story 1946 & Newer All Styles,RL,68.0,7980,Pave,NA,2,Lvl,3,Inside,2,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,5,7,PConc,7,5,1,5,1,233.0,1168.0,GasA,9,Y,4,1187,1187,1.0,0.0,2,0,3,1,5,6,7,0,0,5,1992.0,3,2.0,420.0,5,5,2,0,4,Shed,3,2010,WD ,185000,12.128111104060462,18,2775.0
2339,527250040,2 Family Conversion-All Styles And Ages,RL,100.0,34650,Pave,NA,3,Bnk,3,Inside,2,Gilbert,Norm,Norm,2fmCon,1Story,5,5,1955,1955,Hip,CompShg,Wd Sdng,Wd Sdng,None,5,5,CBlock,5,5,2,3,1,0.0,1056.0,GasA,5,N,4,1056,1056,1.0,0.0,1,0,3,1,5,5,7,0,0,5,1955.0,3,2.0,572.0,5,5,2,0,0,NA,1,2006,WD ,145000,11.884489021402711,51,2684.0
624,535104120,1-Story 1946 & Newer All Styles,RL,92.0,10573,Pave,NA,2,Lvl,3,Corner,2,NAmes,Norm,Norm,1Fam,1Story,6,6,1961,1961,Hip,CompShg,MetalSd,MetalSd,BrkFace,5,5,CBlock,5,5,1,3,1,141.0,1453.0,GasA,9,Y,4,1453,1453,1.0,0.0,2,0,3,1,5,6,7,1,5,5,1961.0,2,2.0,530.0,5,5,2,0,4,NA,4,2009,WD ,187500,12.141534124392603,48,3436.0
86,532376160,1-Story 1946 & Newer All Styles,RL,65.0,8450,Pave,NA,3,Lvl,3,Inside,2,Sawyer,RRAe,Norm,1Fam,1Story,5,8,1965,2009,Gable,CompShg,MetalSd,MetalSd,None,5,7,CBlock,5,5,1,6,4,224.0,894.0,GasA,9,Y,4,894,894,1.0,0.0,1,0,3,1,5,5,7,1,7,1,1973.0,1,1.0,336.0,5,5,2,0,3,NA,4,2010,WD ,138500,11.83862560460953,45,2124.0
1534,909277040,1-1/2 Story Finished All Ages,RL,68.0,11700,Pave,Grvl,2,HLS,3,Inside,1,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,1937,1995,Gable,CompShg,WdShing,Wd Shng,None,5,5,CBlock,5,5,1,4,1,336.0,942.0,GasA,9,Y,4,1265,1938,0.0,0.0,2,0,4,1,7,7,5,1,7,1,1937.0,1,1.0,240.0,5,5,2,0,0,NA,7,2008,WD ,198000,12.196022309676673,71,3120.0
2243,911103060,2 Family Conversion-All Styles And Ages,C (all),75.0,8250,Pave,NA,3,Lvl,3,Inside,2,IDOTRR,Feedr,Norm,2fmCon,2Story,5,6,1895,2006,Gable,CompShg,VinylSd,VinylSd,None,5,7,CBlock,5,5,1,1,1,957.0,957.0,GasA,3,N,4,1034,1991,0.0,0.0,2,0,4,2,5,9,7,0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,NA,6,2007,WD ,119600,11.691908120498669,112,2948.0
1957,535450190,1-1/2 Story Finished All Ages,RL,60.0,8064,Pave,NA,3,Lvl,3,Corner,2,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,1949,2006,Gable,CompShg,MetalSd,MetalSd,None,5,7,CBlock,5,5,2,1,1,672.0,672.0,GasA,9,Y,4,672,924,0.0,0.0,1,0,3,1,5,6,7,1,2,1,2003.0,1,2.0,576.0,5,5,2,0,3,Shed,7,2007,WD ,122900,11.719126295554126,58,2172.0
380,527355150,1-Story 1946 & Newer All Styles,RL,80.0,9600,Pave,NA,3,Lvl,3,Inside,2,NWAmes,PosN,Norm,1Fam,1Story,8,5,1981,1981,Hip,WdShngl,BrkFace,BrkFace,None,7,5,PConc,7,5,1,5,1,1420.0,2524.0,GasA,5,Y,4,2524,2524,1.0,0.0,2,1,4,1,7,9,7,1,7,5,1981.0,3,2.0,542.0,5,5,2,0,3,NA,7,2009,WD ,278000,12.535376392672774,28,5590.0
2860,909276010,2-Story 1945 & Older,RL,68.0,11435,Pave,NA,2,HLS,3,Corner,1,Crawfor,Norm,Norm,1Fam,2Story,8,7,1929,1950,Gable,CompShg,BrkFace,Stucco,None,5,5,PConc,7,5,1,1,1,792.0,792.0,GasA,3,Y,4,792,1517,0.0,0.0,1,0,3,1,7,7,7,2,7,1,1931.0,1,2.0,400.0,5,5,2,0,0,NA,6,2006,WD ,230000,12.345834587905333,77,2709.0
2517,533250130,1-Story PUD (Planned Unit Development) - 1946 & Newer,RL,30.0,9549,Pave,NA,2,Lvl,3,CulDSac,2,Veenker,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Hip,CompShg,BrkFace,BrkFace,None,7,7,PConc,7,7,3,2,6,0.0,1494.0,GasA,9,Y,4,1494,1494,1.0,0.0,1,1,2,1,9,6,7,1,7,5,1995.0,3,2.0,481.0,5,5,2,0,0,NA,4,2006,WD ,270000,12.506177237980511,11,3469.0
1933,535302070,1-Story 1946 & Newer All Styles,RL,60.0,10950,Pave,NA,3,Lvl,3,Inside,2,NAmes,Norm,Norm,1Fam,1Story,6,6,1952,1952,Hip,CompShg,Wd Sdng,Wd Sdng,None,5,5,CBlock,5,5,1,5,1,507.0,948.0,GasA,5,Y,4,948,948,0.0,0.0,1,0,2,1,5,5,7,0,0,1,1952.0,1,2.0,410.0,5,5,0,0,0,NA,4,2007,WD ,125000,11.736069016284437,55,2306.0
820,906340110,1-Story 1946 & Newer All Styles,RL,79.0,10637,Pave,NA,3,Lvl,3,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2008,Hip,CompShg,VinylSd,VinylSd,Stone,7,5,PConc,9,5,4,6,1,417.0,1705.0,GasA,9,Y,4,1718,1718,1.0,0.0,2,0,3,1,7,7,7,1,7,5,2007.0,2,3.0,826.0,5,5,2,0,0,NA,9,2009,WD ,297000,12.601487417784837,2,4249.0
675,535426150,1-Story 1946 & Newer All Styles,RL,80.0,9000,Pave,NA,2,HLS,3,Inside,1,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,5,5,CBlock,7,5,4,1,1,160.0,160.0,GasA,3,Y,4,1142,1142,0.0,0.0,1,0,2,1,5,5,7,1,7,4,1958.0,2,1.0,384.0,5,5,2,0,0,NA,4,2009,WD ,113500,11.639558115903595,51,1686.0
2910,923225240,2-Story PUD - 1946 & Newer,RM,41.0,2665,Pave,NA,3,Lvl,3,Inside,2,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,1977,1977,Gable,CompShg,CemntBd,CmentBd,None,5,5,PConc,5,5,1,5,3,36.0,757.0,GasA,9,Y,4,925,1475,0.0,0.0,2,0,4,1,5,6,7,1,5,5,1977.0,2,1.0,336.0,5,5,2,0,0,NA,7,2006,WD ,127000,11.751942365440728,29,2568.0
21,527358140,1-Story 1946 & Newer All Styles,RL,105.0,11751,Pave,NA,2,Lvl,3,Inside,2,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,5,5,CBlock,7,5,1,4,1,1139.0,1844.0,GasA,9,Y,4,1844,1844,0.0,0.0,2,0,3,1,5,7,7,1,5,5,1977.0,2,2.0,546.0,5,5,2,0,3,NA,1,2010,COD,190000,12.154779351142624,33,4234.0
1873,534177210,1-Story 1946 & Newer All Styles,RL,80.0,9600,Pave,NA,3,Lvl,3,Inside,2,NWAmes,Norm,Norm,1Fam,1Story,7,6,1973,1973,Hip,CompShg,HdBoard,HdBoard,BrkFace,5,5,CBlock,5,5,1,5,1,326.0,1242.0,GasA,3,Y,4,1242,1242,0.0,0.0,1,1,3,1,5,6,7,1,5,5,1973.0,1,2.0,528.0,5,5,2,0,0,NA,9,2007,WD ,175500,12.075394321888057,34,3012.0
2125,907135050,1-Story 1946 & Newer All Styles,RL,60.0,8428,Pave,NA,1,Lvl,3,Inside,2,CollgCr,Norm,Norm,1Fam,1Story,5,7,1994,1994,Gable,CompShg,VinylSd,VinylSd,None,5,7,PConc,7,7,1,6,1,570.0,990.0,GasA,9,Y,4,990,990,1.0,0.0,1,0,3,1,5,5,7,0,0,1,1995.0,1,1.0,384.0,5,5,2,0,0,NA,7,2007,WD ,146000,11.891361900690473,13,2364.0
1489,908102260,1-Story 1946 & Newer All Styles,RL,75.0,9937,Pave,NA,3,Lvl,3,Inside,2,Edwards,Norm,Norm,1Fam,1Story,5,6,1965,1965,Gable,CompShg,HdBoard,HdBoard,None,7,5,CBlock,5,5,1,4,2,136.0,1256.0,GasA,7,Y,4,1256,1256,1.0,0.0,1,1,3,1,5,6,7,0,0,5,1965.0,3,1.0,276.0,5,5,2,0,0,NA,6,2008,WD ,147500,11.901583454762012,43,2788.0
983,923275040,Split Foyer,RL,68.0,9101,Pave,NA,2,Lvl,3,Corner,2,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,5,7,PConc,7,5,3,6,1,0.0,1097.0,GasA,9,Y,4,1110,1110,1.0,0.0,1,0,1,1,7,4,7,1,5,5,1978.0,3,2.0,602.0,5,5,2,0,0,NA,7,2009,WD ,165500,12.016726473799254,31,2809.0
1325,902406090,1-1/2 Story Finished All Ages,RM,81.0,12150,Pave,Grvl,3,Lvl,3,Inside,2,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,1954,1954,Gable,CompShg,MetalSd,MetalSd,BrkFace,5,5,BrkTil,5,5,1,1,1,1050.0,1050.0,GasA,9,N,2,1050,1795,0.0,0.0,2,0,4,1,5,7,7,0,0,5,1954.0,1,1.0,352.0,3,5,2,0,0,NA,11,2008,WD ,131500,11.786762130599957,54,3197.0
1378,905102170,1-Story 1946 & Newer All Styles,RL,70.0,11200,Pave,NA,3,Lvl,3,Inside,2,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,None,5,5,CBlock,5,5,1,3,1,134.0,1040.0,GasA,9,Y,4,1040,1040,1.0,0.0,1,0,3,1,5,5,7,0,0,1,1965.0,1,1.0,384.0,5,5,2,0,0,NA,2,2008,WD ,129500,11.771436160121729,43,2464.0
1537,909281110,2-Story 1945 & Older,RL,100.0,9670,Pave,NA,2,HLS,3,Inside,1,Crawfor,Norm,Norm,1Fam,2Story,8,6,1935,1950,Gable,CompShg,BrkFace,Stucco,Stone,5,5,PConc,5,3,1,2,1,398.0,608.0,GasA,5,Y,4,983,1873,0.0,0.0,1,1,4,1,5,9,7,2,7,1,1935.0,3,2.0,786.0,3,5,2,0,0,NA,6,2008,WD ,257076,12.45712704000522,73,3267.0
905,909101140,1-1/2 Story Finished All Ages,RL,60.0,10998,Pave,Grvl,3,Lvl,3,Inside,2,Edwards,Norm,Norm,1Fam,1.5Fin,5,5,1941,1960,Gable,CompShg,Wd Sdng,Wd Sdng,None,5,5,CBlock,5,5,1,2,4,156.0,984.0,GasA,9,Y,4,984,1604,0.0,0.0,2,0,3,1,5,6,5,0,0,1,1977.0,1,2.0,660.0,5,5,2,0,0,NA,7,2009,WD ,117000,11.669929213779893,68,3248.0
1532,909275050,2-Story 1945 & Older,RL,60.0,7200,Pave,NA,3,HLS,3,Inside,1,Crawfor,Norm,Norm,1Fam,2Story,7,6,1931,2000,Gable,CompShg,Stucco,Wd Shng,None,5,3,BrkTil,7,5,1,1,1,776.0,776.0,GasA,5,Y,4,851,1502,0.0,0.0,1,1,3,1,5,6,7,1,7,5,1931.0,2,1.0,270.0,5,5,1,0,3,NA,2,2008,WD ,149000,11.911701584927597,77,2548.0
132,534475100,1-Story 1946 & Newer All Styles,RL,80.0,9920,Pave,NA,3,Lvl,3,Inside,2,NAmes,Norm,Norm,1Fam,1Story,5,5,1954,1954,Gable,CompShg,HdBoard,HdBoard,Stone,5,5,CBlock,5,5,1,3,2,412.0,1056.0,GasA,5,Y,4,1063,1063,1.0,0.0,1,0,3,1,5,6,7,0,0,5,1954.0,2,1.0,280.0,5,5,2,0,3,NA,2,2010,WD ,128000,11.759785542901755,56,2399.0
1078,528188090,2-Story PUD - 1946 & Newer,RL,36.0,2448,Pave,NA,3,Lvl,3,Inside,2,NridgHt,Norm,Norm,Twnhs,2Story,7,5,2003,2004,Gable,CompShg,VinylSd,Wd Shng,Stone,7,5,PConc,7,5,1,1,1,764.0,764.0,GasA,9,Y,4,764,1626,0.0,0.0,2,1,2,1,7,6,7,0,0,3,2003.0,2,2.0,474.0,5,5,2,0,0,NA,10,2008,WD ,155000,11.951180395901384,5,2864.0
2511,533221080,2-Story PUD - 1946 & Newer,FV,68.0,2998,Pave,NA,3,Lvl,3,Inside,2,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2000,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,7,5,PConc,7,5,1,6,1,403.0,756.0,GasA,9,Y,4,768,1524,0.0,0.0,2,1,2,1,7,4,7,0,0,1,2000.0,1,2.0,440.0,5,5,2,0,0,NA,6,2006,WD ,166000,12.01974306733868,6,2720.0
912,909250220,1-1/2 Story Finished All Ages,RL,65.0,7804,Pave,NA,3,Lvl,3,Inside,2,SWISU,Norm,Norm,1Fam,1.5Fin,4,3,1928,1950,Gable,CompShg,WdShing,Plywood,None,5,5,BrkTil,5,5,1,4,1,500.0,1122.0,GasA,5,Y,4,1328,1981,1.0,0.0,2,0,4,1,7,7,5,2,5,1,1981.0,1,2.0,576.0,5,5,2,0,3,NA,12,2009,WD ,135000,11.813030057420567,81,3679.0
2351,527356020,2-Story 1946 & Newer,RL,80.0,16692,Pave,NA,2,Lvl,3,Inside,2,NWAmes,RRAn,Norm,1Fam,2Story,7,5,1978,1978,Gable,CompShg,Plywood,Plywood,BrkFace,5,5,CBlock,7,5,1,4,2,133.0,1392.0,GasA,5,Y,4,1392,2784,1.0,0.0,3,1,5,1,7,12,7,2,5,5,1978.0,2,2.0,564.0,5,5,2,3,3,TenC,7,2006,WD ,250000,12.429216196844383,28,4740.0
330,923226250,2-Story PUD - 1946 & Newer,RM,21.0,1476,Pave,NA,3,Lvl,3,Inside,2,MeadowV,Norm,Norm,Twnhs,2Story,4,7,1970,1970,Gable,CompShg,CemntBd,CmentBd,None,5,5,CBlock,5,5,1,6,1,370.0,546.0,GasA,9,Y,4,546,1092,0.0,0.0,1,1,3,1,5,5,7,0,0,0,0.0,0,0.0,0.0,0,0,2,0,0,NA,3,2010,WD ,76000,11.238488619268468,40,1638.0
2586,535305120,1-Story 1946 & Newer All Styles,RL,75.0,10170,Pave,NA,3,Lvl,3,Corner,2,NAmes,Norm,Norm,1Fam,1Story,6,6,1951,1951,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,5,5,CBlock,5,5,1,1,1,216.0,216.0,GasA,5,Y,4,1575,1575,0.0,0.0,1,1,2,1,7,5,7,1,7,5,1951.0,1,2.0,400.0,5,5,2,0,0,NA,6,2006,WD ,155000,11.951180395901384,55,2191.0
224,905106140,2-Story 1946 & Newer,RL,80.0,9364,Pave,NA,3,Lvl,3,Corner,2,Sawyer,Norm,Norm,1Fam,2Story,6,7,1969,1969,Gable,CompShg,HdBoard,HdBoard,Stone,5,5,CBlock,5,5,1,5,1,292.0,663.0,GasA,5,Y,4,663,1352,0.0,0.0,1,1,4,1,5,7,7,0,0,5,1969.0,3,1.0,299.0,5,5,2,0,3,NA,3,2010,WD ,158000,11.970350312009105,41,2314.0
98,533212020,2-Story PUD - 1946 & Newer,FV,24.0,2544,Pave,Pave,3,Lvl,3,Inside,2,Somerst,Norm,Norm,Twnhs,2Story,7,5,2004,2005,Gable,CompShg,MetalSd,MetalSd,None,7,5,PConc,7,5,1,6,5,190.0,600.0,GasA,9,Y,4,600,1200,1.0,0.0,2,1,2,1,7,4,7,0,0,1,2004.0,2,2.0,480.0,5,5,2,0,0,NA,2,2010,WD ,149500,11.915051671812877,6,2280.0
